总科,Superfamily,Superfamily author,科,Family,Family Author,亚科,Subfamily,Subfamily Author,族,Tribe,Tribe Author,属,Genus,Genus Author,亚属,Subgenus,Author,种,Species,Species Author,synonyms,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",裳凤蝶属,Troides,"Hübner, [1819]",,,,裳凤蝶,Troides helena,"(Linnaeus, 1758)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",裳凤蝶属,Troides,"Hübner, [1819]",,,,金裳凤蝶,Troides aeacus,"(C. & R. Felder, 1860)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",裳凤蝶属,Troides,"Hübner, [1819]",,,,荧光裳凤蝶,Troides magellenus,"(C. & R. Felder, 1862)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",曙凤蝶属,Atrophaneura,"Reakirt, [1865]",,,,曙凤蝶,Atrophaneura horishana,"(Matsumura, 1910)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",曙凤蝶属,Atrophaneura,"Reakirt, [1865]",,,,暖曙凤蝶,Atrophaneura aidoneus,"(Doubleday, 1845)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",曙凤蝶属,Atrophaneura,"Reakirt, [1865]",,,,玛曙凤蝶,Atrophaneura nox,"(Matsumura, 1910)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",曙凤蝶属,Atrophaneura,"Reakirt, [1865]",,,,瓦曙凤蝶,Atrophaneura varuna,"(White, 1842)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,麝凤蝶,Byasa alcinous,"(Klug, 1836)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,中华麝凤蝶,Byasa confusus,"(Rothschild, 1895)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,长尾麝凤蝶,Byasa impediens,"(Rothschild, 1895)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,灰绒麝凤蝶,Byasa mencius,"(C. & R. Felder, 1862)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,达摩麝凤蝶,Byasa daemonius,"(Alphéraky, 1895)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,短尾麝凤蝶,Byasa crassipes,"(Oberthür, 1893)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,突缘麝凤蝶,Byasa plutonius,"(Oberthür, 1876)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,粗绒麝凤蝶,Byasa nevilli,"(Wood-Mason, 1882)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,多姿麝凤蝶,Byasa polyeuctes,"Byasa, 842)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,白斑麝凤蝶,Byasa dasarada,"(Moore, 1857)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,云南麝凤蝶,Byasa hedistus,"(Jordan, 1928)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,纨裤麝凤蝶,Byasa latreillei,"(Donovan, 1826)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,彩裙麝凤蝶,Byasa polla,"(de Nicéville, 1897)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",麝凤蝶属,Byasa,"Moore, 1882",,,,娆麝凤蝶,Byasa rhadinus,"(Jordan, 1928)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",锤尾凤蝶属,Losaria,"Moore, 1902",,,,锤尾凤蝶,Losaria coon,"(Fabricius, 1793)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",裳凤蝶族,Troidini,"Ford, 1944",珠凤蝶属,Pachliopta,"Reakirt, [1865]",,,,红珠凤蝶,Pachliopta aristolochiae,"(Fabricius, 1775)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",斑凤蝶属,Chilasa,"Moore, [1881]",,,,斑凤蝶,Chilasa clytia,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",斑凤蝶属,Chilasa,"Moore, [1881]",,,,褐斑凤蝶,Chilasa agestor,"Gray, 1831",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",斑凤蝶属,Chilasa,"Moore, [1881]",,,,小黑斑凤蝶,Chilasa epycides,"Hewitson, 1864",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",斑凤蝶属,Chilasa,"Moore, [1881]",,,,翠蓝斑凤蝶,Chilasa paradoxa,"(Zinken, 1831)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",斑凤蝶属,Chilasa,"Moore, [1881]",,,,臀珠斑凤蝶,Chilasa slateri,"Hewitson, 1859",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",玉带凤蝶,Papilio polytes,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",宽带凤蝶,Papilio nephelus,"Boisduval, 1836",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",玉牙凤蝶,Papilio castor,"Westwood, 1842",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",马哈凤蝶,Papilio mahadeva,"Moore, [1879]",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",玉斑凤蝶,Papilio helenus,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",纳补凤蝶,Papilio noblei,"de Nicéville, [1889]",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",蓝凤蝶,Papilio protenor,"Cramer, [1775]",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",美凤蝶,Papilio memnon,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",红基美凤蝶,Papilio alcmenor,"C. & R. Felder, [1864]",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",牛郎凤蝶,Papilio bootes,"Westwood, 1842",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",美姝凤蝶,Papilio macilentus,"Janson, 1877",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",台湾凤蝶,Papilio thaiwanus,"Rothschild, 1898",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",美凤蝶亚属,Menelaides,"Hübner, [1819]",红斑美凤蝶,Papilio rumanzovia,"Eschscholtz, 1821",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",碧凤蝶,Papilio bianor,"Cramer, [1777]",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",波绿凤蝶,Papilio polyctor,"Boisduval, 1836",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",穹翠凤蝶,Papilio dialis,"Leech, 1893",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",绿带翠凤蝶,Papilio maackii,"Ménétriés, 1859",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",重帏翠凤蝶,Papilio hoppo,"Matsumura, 1908",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",窄斑翠凤蝶,Papilio arcturus,"Westwood, 1842",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",克里翠凤蝶,Papilio krishna,"Moore, 1857",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",巴黎翠凤蝶,Papilio paris,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",台湾琉璃翠凤蝶,Papilio hermosanus,"Rebel, 1906",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",翠凤蝶亚属,Princeps,"Hübner, [1807]",达摩凤蝶,Papilio demoleus,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",华凤蝶亚属,Sinoprinceps,"Hancock, 1983",柑橘凤蝶,Papilio xuthus,"Linnaeus, 1767",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",凤蝶属,Papilio,"Linnaeus, 1758",凤蝶亚属,Papilio,"Linnaeus, 1758",金凤蝶,Papilio machaon,"Linnaeus, 1758",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",宽尾凤蝶属,Agehana,"Matsumura, 1936",,,,宽尾凤蝶,Agehana elwesi,"Leech, 1889",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",凤蝶族,Papilionini,"Latreille, [1820]",宽尾凤蝶属,Agehana,"Matsumura, 1936",,,,台湾宽尾凤蝶,Agehana maraho,"Shiraki & Sonan, 1934",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",燕凤蝶属,Lamproptera,"Gray, 1832",,,,燕凤蝶,Lamproptera curius,"(Fabricius, 1787)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",燕凤蝶属,Lamproptera,"Gray, 1832",,,,绿带燕凤蝶,Lamproptera meges,"(Zinken, 1831)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",燕凤蝶属,Lamproptera,"Gray, 1832",,,,东川燕凤蝶,Lamproptera paracurius,"Hu, Zhang & Cotton, 2014",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,青凤蝶,Graphium sarpedon,"(Linnaeus, 1758)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,,Graphium adonarensis,"Rothschild, 1896",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,宽带青凤蝶,Graphium cloanthus,"(Westwood, 1841)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,统帅青凤蝶,Graphium agamemnon,"(Linnaeus, 1758)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,碎斑青凤蝶,Graphium chironides,"(Honrath, 1884)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,黎氏青凤蝶,Graphium leechi,"(Rothschild, 1895)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,木兰青凤蝶,Graphium doson,"(C. & R. Felder, 1864)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,银钩青凤蝶,Graphium eurypylus,"(Linnaeus, 1758)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",青凤蝶属,Graphium,"Scopoli, 1777",,,,,Graphium evemon,"(Boisduval, 1836)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",纹凤蝶属,Paranticopsis,"Wood-Mason & de Nicéville, [1887]",,,,纹凤蝶,Paranticopsis macareus,"(Godart, 1819)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",纹凤蝶属,Paranticopsis,"Wood-Mason & de Nicéville, [1887]",,,,细纹凤蝶,Paranticopsis megarus,"(Westwood, 1844)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",纹凤蝶属,Paranticopsis,"Wood-Mason & de Nicéville, [1887]",,,,客纹凤蝶,Paranticopsis xenocles,"(Doubleday, 1842)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",纹凤蝶属,Paranticopsis,"Wood-Mason & de Nicéville, [1887]",,,,尾纹凤蝶,Paranticopsis phidias,"(Oberthür, 1906)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",绿凤蝶属,Pathysa,"Reakirt, [1865]",,,,绿凤蝶,Pathysa antiphates,"(Cramer, [1775])",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",绿凤蝶属,Pathysa,"Reakirt, [1865]",,,,斜纹绿凤蝶,Pathysa agetes,"(Westwood, 1843)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",绿凤蝶属,Pathysa,"Reakirt, [1865]",,,,芒绿凤蝶,Pathysa aristea,"(Stoll, [1780])",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",绿凤蝶属,Pathysa,"Reakirt, [1865]",,,,红绶绿凤蝶,Pathysa nomius,"(Esper, 1799)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,金斑剑凤蝶,Pazala alebion,"(Gray, [1853])",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,铁木剑凤蝶,Pazala mullah,"Alphéraky, 1897",Pazala timur,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,升天剑凤蝶,Pazala euroa,"(Leech, [1893])",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,华夏剑凤蝶,Pazala glycerion,"(Gray, 1831)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,圆翅剑凤蝶,Pazala parus,"de Nicecille, 1900",Pazala incerta,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,乌克兰剑凤蝶,Pazala tamerlana,"(Oberthür, 1876)",,
凤蝶总科,Papilionoidea,"Latreille, 1802",凤蝶科,Papilionidae,"Latreille, 1809",凤蝶亚科,Papilioninae,"Latreille, 1802",燕凤蝶族,Lampropterini,"Moore, 1890",剑凤蝶属,Pazala,"Moore, 1888",,,,四川剑凤蝶,Pazala sichuanica,"Koiwaya, 1993",,
